dimensions,dtype,index_dtype,size,block_size,compress,negate,add,multiply,dot,norm2,mean,variance,cosine_similarity,structural_similarity,decompress
2,float16,int16,32,4,0.00020244121551513672,6.389617919921875e-06,9.722709655761719e-05,9.584426879882813e-06,0.00011954307556152343,5.5408477783203126e-05,0.00011339187622070313,0.00010008811950683594,0.00012764930725097656,0.0007134914398193359,0.00017151832580566406
2,float16,int16,64,4,0.00021581649780273439,6.341934204101563e-06,9.760856628417968e-05,9.72747802734375e-06,0.00011954307556152343,5.5694580078125e-05,0.00011816024780273438,0.00010004043579101563,0.00012769699096679688,0.0007327079772949218,0.0001900196075439453
2,float16,int16,128,4,0.00023844242095947266,6.4373016357421875e-06,9.775161743164062e-05,9.632110595703125e-06,0.00011935234069824219,5.5694580078125e-05,0.00011920928955078125,0.00010042190551757812,0.00012807846069335939,0.0007426738739013672,0.00022072792053222655
2,float16,int16,256,4,0.0002859354019165039,6.628036499023438e-06,9.846687316894531e-05,9.870529174804687e-06,0.00013275146484375,6.403923034667969e-05,0.00012040138244628906,0.00010204315185546875,0.00013575553894042968,0.0007523536682128906,0.00028791427612304685
2,float16,int16,512,4,0.00039331912994384767,6.4849853515625e-06,9.927749633789062e-05,9.775161743164062e-06,0.0001320362091064453,6.279945373535156e-05,0.0001227855682373047,0.00010967254638671875,0.00014486312866210938,0.0007688999176025391,0.0004271984100341797
2,float16,int16,1024,4,0.0005883455276489257,6.580352783203125e-06,0.00010161399841308593,1.0013580322265625e-05,0.0001339435577392578,6.356239318847657e-05,0.00012464523315429686,0.00011057853698730469,0.0001468658447265625,0.0007742881774902344,0.0006961345672607422
2,float16,int16,2048,4,0.0009868144989013672,6.771087646484375e-06,0.00012269020080566407,9.870529174804687e-06,0.0002227306365966797,8.859634399414063e-05,0.00013165473937988282,0.00013141632080078126,0.00018324851989746094,0.0008745670318603515,0.001242685317993164
2,float16,int16,4096,4,0.001973128318786621,6.67572021484375e-06,0.0003684520721435547,9.870529174804687e-06,0.0008555889129638672,0.00028853416442871095,0.00019507408142089845,0.0002827644348144531,0.0005330562591552735,0.0018079280853271484,0.0025665283203125
2,float16,int16,8192,4,0.004340744018554688,6.580352783203125e-06,0.0013985633850097656,1.1014938354492188e-05,0.003339338302612305,0.0010634422302246093,0.0004987716674804688,0.0010288715362548827,0.0019509315490722657,0.005950927734375,0.005907201766967773
2,float16,int16,8,8,0.0001937389373779297,6.29425048828125e-06,9.789466857910157e-05,9.632110595703125e-06,0.00012259483337402345,5.5408477783203126e-05,8.9263916015625e-05,0.00010166168212890624,0.00012769699096679688,0.0006743431091308594,0.00016508102416992187
